Experiment,Val,Trial,Reward,Steps,RunTime
Gamma,1.0,0,-291.18507642775745,118,15959.0
Gamma,1.0,1,-242.48802857970432,90,15959.0
Gamma,1.0,2,-57.11142230898521,62,15959.0
Gamma,1.0,3,-53.991683590319546,590,15959.0
Gamma,1.0,4,-406.8071623999973,93,15959.0
Gamma,1.0,5,-297.6747489330429,64,15959.0
Gamma,1.0,6,-516.297268307871,144,15959.0
Gamma,1.0,7,-172.06902673033736,244,15959.0
Gamma,1.0,8,-403.0684713406502,164,15959.0
Gamma,1.0,9,-194.16028174667753,301,15959.0
Gamma,1.0,10,-135.7901651202995,282,15959.0
Gamma,1.0,11,-534.6327822752103,245,15959.0
Gamma,1.0,12,-683.4948602255665,231,15959.0
Gamma,1.0,13,-742.5447940644808,166,15959.0
Gamma,1.0,14,-91.14100097663967,277,15959.0
Gamma,1.0,15,-113.09101495023658,134,15959.0
Gamma,1.0,16,-372.1171553544312,423,15959.0
Gamma,1.0,17,-187.0711723642258,278,15959.0
Gamma,1.0,18,-270.14297777800346,306,15959.0
Gamma,1.0,19,-280.1362950464053,145,15959.0
Gamma,1.0,20,-263.7879366370389,291,15959.0
Gamma,1.0,21,-351.6709612298692,431,15959.0
Gamma,1.0,22,-108.89735244944137,413,15959.0
Gamma,1.0,23,-36.18481550968778,303,15959.0
Gamma,1.0,24,-66.044508839267,431,15959.0
Gamma,1.0,25,-88.51660521647622,393,15959.0
Gamma,1.0,26,-102.68667655371581,591,15959.0
Gamma,1.0,27,-26.32456474478218,392,15959.0
Gamma,1.0,28,-101.95255482904598,241,15959.0
Gamma,1.0,29,-123.56816836862117,555,15959.0
Gamma,1.0,30,-326.90278939448507,473,15959.0
Gamma,1.0,31,-145.71763607131848,402,15959.0
Gamma,1.0,32,-110.65642253703581,345,15959.0
Gamma,1.0,33,-39.62213516668128,229,15959.0
Gamma,1.0,34,-21.491686613292714,307,15959.0
Gamma,1.0,35,-91.47980548490713,234,15959.0
Gamma,1.0,36,-68.90536570768762,271,15959.0
Gamma,1.0,37,-73.28480501052502,511,15959.0
Gamma,1.0,38,-35.69884433357949,248,15959.0
Gamma,1.0,39,-220.92506444146994,252,15959.0
Gamma,1.0,40,18.097084999632145,270,15959.0
Gamma,1.0,41,-75.10938958595676,428,15959.0
Gamma,1.0,42,-81.28879972744248,135,15959.0
Gamma,1.0,43,-113.53015663235463,538,15959.0
Gamma,1.0,44,-7.774586621967671,375,15959.0
Gamma,1.0,45,-55.534416350029595,376,15959.0
Gamma,1.0,46,-111.2498837001161,418,15959.0
Gamma,1.0,47,-163.69560247887756,493,15959.0
Gamma,1.0,48,-81.78962595086483,487,15959.0
Gamma,1.0,49,-22.07588574928549,451,15959.0
Gamma,1.0,50,-210.19486881883145,396,15959.0
Gamma,1.0,51,-73.35504939227226,1000,15959.0
Gamma,1.0,52,-48.82868241027016,1000,15959.0
Gamma,1.0,53,-15.70064713971911,282,15959.0
Gamma,1.0,54,26.048994228692763,404,15959.0
Gamma,1.0,55,-21.82113618252241,468,15959.0
Gamma,1.0,56,-297.6475982528797,408,15959.0
Gamma,1.0,57,-146.62656608416356,528,15959.0
Gamma,1.0,58,-248.8855146473911,887,15959.0
Gamma,1.0,59,-228.97415219036495,413,15959.0
Gamma,1.0,60,-293.21385725705557,353,15959.0
Gamma,1.0,61,-197.36967372612565,367,15959.0
Gamma,1.0,62,-154.39894297717032,297,15959.0
Gamma,1.0,63,-27.813468149259162,1000,15959.0
Gamma,1.0,64,-51.25048244467327,421,15959.0
Gamma,1.0,65,-102.92359211768208,719,15959.0
Gamma,1.0,66,-181.98484493004295,1000,15959.0
Gamma,1.0,67,-63.96919688383511,623,15959.0
Gamma,1.0,68,-98.32381185363674,1000,15959.0
Gamma,1.0,69,-69.89285616024067,603,15959.0
Gamma,1.0,70,-38.90721138621823,603,15959.0
Gamma,1.0,71,-247.064314697558,83,15959.0
Gamma,1.0,72,-107.59824676296252,544,15959.0
Gamma,1.0,73,-62.552944563874334,356,15959.0
Gamma,1.0,74,-101.91078616289133,708,15959.0
Gamma,1.0,75,-160.40748158419865,1000,15959.0
Gamma,1.0,76,-80.85127823540148,1000,15959.0
Gamma,1.0,77,-85.63749329754698,1000,15959.0
Gamma,1.0,78,-140.51453178773153,1000,15959.0
Gamma,1.0,79,-260.424185538021,580,15959.0
Gamma,1.0,80,7.561787633967293,1000,15959.0
Gamma,1.0,81,-26.786917494023424,1000,15959.0
Gamma,1.0,82,-162.21918466370116,1000,15959.0
Gamma,1.0,83,-134.453052773807,1000,15959.0
Gamma,1.0,84,-117.86210623409244,1000,15959.0
Gamma,1.0,85,-119.40998240038083,1000,15959.0
Gamma,1.0,86,-106.54463102213556,1000,15959.0
Gamma,1.0,87,-106.49751593419849,464,15959.0
Gamma,1.0,88,-148.04602326831397,1000,15959.0
Gamma,1.0,89,-94.75584832733286,1000,15959.0
Gamma,1.0,90,-139.95507922978408,1000,15959.0
Gamma,1.0,91,-122.28474085397147,1000,15959.0
Gamma,1.0,92,-163.6375037430786,1000,15959.0
Gamma,1.0,93,-114.53552860180308,1000,15959.0
Gamma,1.0,94,23.230371074725856,1000,15959.0
Gamma,1.0,95,-156.55135400480478,1000,15959.0
Gamma,1.0,96,-129.21932005493244,1000,15959.0
Gamma,1.0,97,-142.23828238362174,1000,15959.0
Gamma,1.0,98,-153.32858103372783,1000,15959.0
Gamma,1.0,99,-121.53752010479387,1000,15959.0
Gamma,1.0,100,-121.50449611572307,1000,15959.0
Gamma,1.0,101,-104.06001127132656,1000,15959.0
Gamma,1.0,102,-148.4080362724915,1000,15959.0
Gamma,1.0,103,-82.23286146827805,1000,15959.0
Gamma,1.0,104,-126.94580132986155,1000,15959.0
Gamma,1.0,105,-109.70209045754002,1000,15959.0
Gamma,1.0,106,-130.96359411067223,1000,15959.0
Gamma,1.0,107,-139.51779339123624,1000,15959.0
Gamma,1.0,108,-155.3289819611859,1000,15959.0
Gamma,1.0,109,-114.79291196769046,1000,15959.0
Gamma,1.0,110,-98.55996932280787,1000,15959.0
Gamma,1.0,111,-141.3460444575723,1000,15959.0
Gamma,1.0,112,-157.96236433373878,1000,15959.0
Gamma,1.0,113,-127.88591463933176,1000,15959.0
Gamma,1.0,114,-125.76539957000321,1000,15959.0
Gamma,1.0,115,-120.60259680493348,1000,15959.0
Gamma,1.0,116,-143.13215780348773,1000,15959.0
Gamma,1.0,117,-97.03606159041733,1000,15959.0
Gamma,1.0,118,-114.17167430213313,1000,15959.0
Gamma,1.0,119,-227.47233067056249,907,15959.0
Gamma,1.0,120,-109.81792055395478,1000,15959.0
Gamma,1.0,121,-103.99129215419346,1000,15959.0
Gamma,1.0,122,-262.09699345516003,274,15959.0
Gamma,1.0,123,-118.9922668346569,1000,15959.0
Gamma,1.0,124,-156.55654275215352,1000,15959.0
Gamma,1.0,125,-144.25290593127417,157,15959.0
Gamma,1.0,126,-56.87148976102937,61,15959.0
Gamma,1.0,127,-162.9996572863887,1000,15959.0
Gamma,1.0,128,-111.92107951595341,1000,15959.0
Gamma,1.0,129,-228.1091052939213,938,15959.0
Gamma,1.0,130,-99.00036910658672,1000,15959.0
Gamma,1.0,131,-109.44057513708383,1000,15959.0
Gamma,1.0,132,-215.39576505968301,986,15959.0
Gamma,1.0,133,-142.36089316643643,1000,15959.0
Gamma,1.0,134,-156.90406566494073,1000,15959.0
Gamma,1.0,135,-151.64664144475896,1000,15959.0
Gamma,1.0,136,-142.89788420399196,1000,15959.0
Gamma,1.0,137,-153.82264659114975,1000,15959.0
Gamma,1.0,138,-131.80297656469864,1000,15959.0
Gamma,1.0,139,-144.96655170625627,1000,15959.0
Gamma,1.0,140,-42.2425531230498,1000,15959.0
Gamma,1.0,141,-147.49629923219985,1000,15959.0
Gamma,1.0,142,-122.47102200633076,255,15959.0
Gamma,1.0,143,-162.64728090583446,1000,15959.0
Gamma,1.0,144,-154.47525502857636,1000,15959.0
Gamma,1.0,145,-126.57753152497787,1000,15959.0
Gamma,1.0,146,-151.7159046355116,1000,15959.0
Gamma,1.0,147,-135.05859431300652,1000,15959.0
Gamma,1.0,148,-145.2480810893486,1000,15959.0
Gamma,1.0,149,-136.6351877785509,1000,15959.0
Gamma,1.0,150,-177.30612950026372,1000,15959.0
Gamma,1.0,151,-163.48941536250464,315,15959.0
Gamma,1.0,152,-141.94416828864718,283,15959.0
Gamma,1.0,153,-150.19186930311182,1000,15959.0
Gamma,1.0,154,-79.66212194111068,192,15959.0
Gamma,1.0,155,-266.892017549476,706,15959.0
Gamma,1.0,156,-165.1439778232645,1000,15959.0
Gamma,1.0,157,-103.69333170610179,304,15959.0
Gamma,1.0,158,-119.66669473738325,1000,15959.0
Gamma,1.0,159,-89.52419567796974,244,15959.0
Gamma,1.0,160,-89.73905845590686,1000,15959.0
Gamma,1.0,161,-106.94743986557877,1000,15959.0
Gamma,1.0,162,-119.59176811811238,195,15959.0
Gamma,1.0,163,-140.27259015216694,452,15959.0
Gamma,1.0,164,-127.14748217500816,1000,15959.0
Gamma,1.0,165,-109.40139531707918,1000,15959.0
Gamma,1.0,166,-140.61227996906624,1000,15959.0
Gamma,1.0,167,-96.45775413420192,1000,15959.0
Gamma,1.0,168,-165.59592450892808,309,15959.0
Gamma,1.0,169,-127.04699969208136,1000,15959.0
Gamma,1.0,170,-57.55142505443846,1000,15959.0
Gamma,1.0,171,-128.95490530595615,1000,15959.0
Gamma,1.0,172,-102.40561225154241,180,15959.0
Gamma,1.0,173,-123.71148826031865,153,15959.0
Gamma,1.0,174,-151.52784453459114,1000,15959.0
Gamma,1.0,175,-250.9417821232466,840,15959.0
Gamma,1.0,176,-98.14040665751074,238,15959.0
